row,col,NORTH,SOUTH,EAST,WEST
1,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0
1,4,0.0,0.686068599896196,0.0,0.0
1,5,0.0,3.4301034646984636,0.0,0.0
2,1,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,1.7055690599322215,0.0
2,4,0.0,0.0,5.405192474102528,0.0
2,5,0.0,0.0,0.0,0.0
3,1,0.0,1.6405345727373672,0.0,0.0
3,2,0.0,0.0,0.0,0.0
3,3,0.0,1.9926620000072652,0.0,0.0
3,4,0.42685776549513144,0.0,0.49030628842787966,0.0
3,5,5.336663246018684,0.0,0.0,0.0
4,1,0.0,5.26865607857472,0.0,0.0
4,2,0.0,0.20390619696140705,1.0524602736081616,0.18915124987731774
4,3,0.0,5.9858891143160555,0.0,0.0
4,4,0.0,0.5857789449333644,0.0,1.1629454725937105
4,5,1.6664825979329416,0.0,0.0,0.0
5,1,0.0,0.0,0.0,0.0
5,2,0.0,0.0,1.5720408982748657,4.23761856393599
5,3,0.0,0.0,0.0,0.3469747335655735
5,4,0.0,0.0,0.0,5.986263740468139
5,5,0.0,0.0,0.0,1.9931188556195925
