row,col,NORTH,SOUTH,EAST,WEST
1,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,5.227379362570366
1,3,0.0,0.6278010445950418,0.0,1.612844856185986
1,4,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0
2,1,5.227522255312684,0.0,0.0,0.0
2,2,0.0,0.0,0.22062015924123962,0.7050931019339204
2,3,0.0,5.997066646672551,0.0,0.0
2,4,0.0,1.7315161291016699,0.0,1.9972486654014894
2,5,0.0,0.0,0.0,0.0
3,1,1.613760865073136,0.0,0.12210004212185635,0.0
3,2,0.0,0.0,2.8017240002585946,0.0
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,5.463046617946137
3,5,0.0,1.1026167036275467,0.0,0.10006906736043686
4,1,0.0,0.0,0.0,0.0
4,2,0.24697423770565125,0.0,0.9947768045995546,0.0
4,3,5.075119631302673,0.0,0.0,0.0
4,4,0.0,1.4015626259344596,0.8609402231797972,0.94410660240548
4,5,0.0,4.910058881142612,0.0,0.0
5,1,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
5,3,1.2158306614741108,0.0,1.9445682404214315,0.0
5,4,0.0,0.0,5.913714246600984,0.0
5,5,0.0,0.0,0.0,0.0
