row,col,NORTH,SOUTH,EAST,WEST
1,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,4.886843592014087
1,3,0.0,0.4258040004499077,0.0,0.9592748877732413
1,4,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0
2,1,5.227522104583071,0.0,0.0,0.0
2,2,0.0,0.6357846557002791,0.1575838558284583,1.6136217615314783
2,3,0.0,5.997331891480447,0.0,0.0
2,4,0.0,0.0,0.0,1.9973690932731414
2,5,0.0,0.0,0.0,0.0
3,1,1.6137606952593857,0.0,0.2938369903162748,0.0
3,2,0.0,0.0,5.0205055283721345,0.0
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,5.461930638558399
3,5,0.0,0.0,0.0,1.7309584726589813
4,1,0.0,0.0,0.0,0.0
4,2,1.1033190571427225,0.0,1.328801163424755,0.0
4,3,5.030541369922666,0.0,0.0,0.0
4,4,0.060487237515685355,1.0073973040157054,0.5375371026659956,0.4142384372142499
4,5,0.0,3.5202591634721223,0.0,0.0
5,1,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
5,3,1.2923186667503053,0.0,1.9452266992061227,0.0
5,4,0.0,0.0,5.914709537308719,0.0
5,5,0.0,0.0,0.0,0.0
