row,col,NORTH,SOUTH,EAST,WEST
1,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0
1,4,0.0,0.3867177187469558,0.0,0.0
1,5,0.0,2.436047535,0.0,0.0
2,1,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,1.6974891474519387,0.0
2,4,0.0,0.0,5.475364420342697,0.0
2,5,0.0,0.0,0.0,0.0
3,1,0.0,1.6386576134726238,0.0,0.0
3,2,0.0,0.0,0.0,0.0
3,3,0.0,1.9896050325272925,0.0,0.0
3,4,1.6714458929630645,0.0,1.5689320862808203,0.0
3,5,5.459203118179386,0.0,0.0,0.0
4,1,0.0,5.287927781993421,0.0,0.0
4,2,0.0,1.6519319251865217,1.9689638996743173,1.1239685950525744
4,3,0.0,5.98369219549348,0.0,0.0
4,4,0.0,1.2021753621595601,0.0,1.9783378923017725
4,5,1.6957768987462474,0.0,0.0,0.0
5,1,0.0,0.0,0.0,0.0
5,2,0.0,0.0,1.7922536726896598,5.303090435204179
5,3,0.0,0.0,0.0,1.4417888943368262
5,4,0.0,0.0,0.0,5.979681079523995
5,5,0.0,0.0,0.0,1.991281501693087
