row,col,NORTH,SOUTH,EAST,WEST
1,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,5.2275937201405345
1,3,0.0,1.6475893233767591,0.0,1.6135791109409148
1,4,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0
2,1,5.227591468271758,0.0,0.0,0.0
2,2,1.6137526470668366,0.0,1.3007974514018958,0.9115143226033244
2,3,0.0,5.998039237551704,0.0,0.0
2,4,0.0,1.0263935332189504,0.0,1.9989470646552698
2,5,0.0,0.0,0.0,0.0
3,1,1.6137885650242216,0.0,0.19710316246646087,0.0
3,2,0.0,0.0,5.9122787177266165,0.0
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,5.760542036274604
3,5,0.0,1.7668032972307774,0.0,1.2273754325969755
4,1,0.0,0.0,0.0,0.0
4,2,1.7857203642999049,0.0,0.0,0.0
4,3,5.997940938386956,0.0,0.0,0.0
4,4,0.0,0.6616969295880619,1.7975386234180597,1.7014693297294385
4,5,0.0,5.494298287658412,0.0,0.0
5,1,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
5,3,1.9990144858450964,0.0,1.8136654096175657,0.0
5,4,0.0,0.0,5.693746096501411,0.0
5,5,0.0,0.0,0.0,0.0
