row,col,NORTH,SOUTH,EAST,WEST
1,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,5.155343265091488
1,3,0.0,0.0,0.0,1.560900855721022
1,4,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0
2,1,5.152267659042695,0.0,0.0,0.0
2,2,1.306679093126614,0.7116458313689344,0.0,0.0
2,3,0.0,5.399586069985042,0.0,0.0
2,4,0.0,1.2406671836537937,0.0,0.0
2,5,0.0,0.0,0.0,0.0
3,1,1.1401095194278894,0.0,0.0,0.0
3,2,0.0,0.0,4.9707927418937565,0.0
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,5.539142461162549
3,5,0.0,1.5825763352613742,0.0,0.8988309949092741
4,1,0.0,0.0,0.0,0.0
4,2,0.059839296928421604,0.0,1.0170549301322882,0.0
4,3,5.733313161150353,0.0,0.0,0.0
4,4,0.38834973720488525,0.3133566645513082,0.9870993384615996,0.2774337672782885
4,5,0.0,5.728533694442597,0.0,0.0
5,1,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
5,3,1.641071005212901,0.0,1.342360613372139,0.0
5,4,0.0,0.0,5.719800806502491,0.0
5,5,0.0,0.0,0.0,0.0
