row,col,NORTH,SOUTH,EAST,WEST
1,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0
1,5,0.0,0.9744,0.0,0.0
2,1,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0
3,2,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
3,5,1.7880974999999997,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0
4,3,0.0,0.47774999999999984,0.0,0.0
4,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,1,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.8815124999999999
5,3,0.0,0.0,0.0,0.0
5,4,0.0,0.0,0.0,1.1691749999999999
5,5,0.0,0.0,0.0,0.0
